ClubID,CourseID,LongCourseID,CourseName,NumHoles,MeasureMeters,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8,Par9,Par10,Par11,Par12,Par13,Par14,Par15,Par16,Par17,Par18,Hcp1,Hcp2,Hcp3,Hcp4,Hcp5,Hcp6,Hcp7,Hcp8,Hcp9,Hcp10,Hcp11,Hcp12,Hcp13,Hcp14,Hcp15,Hcp16,Hcp17,Hcp18,ParW1,ParW2,ParW3,ParW4,ParW5,ParW6,ParW7,ParW8,ParW9,ParW10,ParW11,ParW12,ParW13,ParW14,ParW15,ParW16,ParW17,ParW18,HcpW1,HcpW2,HcpW3,HcpW4,HcpW5,HcpW6,HcpW7,HcpW8,HcpW9,HcpW10,HcpW11,HcpW12,HcpW13,HcpW14,HcpW15,HcpW16,HcpW17,HcpW18,MatchIndex1,MatchIndex2,MatchIndex3,MatchIndex4,MatchIndex5,MatchIndex6,MatchIndex7,MatchIndex8,MatchIndex9,MatchIndex10,MatchIndex11,MatchIndex12,MatchIndex13,MatchIndex14,MatchIndex15,MatchIndex16,MatchIndex17,MatchIndex18,SplitIndex1,SplitIndex2,SplitIndex3,SplitIndex4,SplitIndex5,SplitIndex6,SplitIndex7,SplitIndex8,SplitIndex9,SplitIndex10,SplitIndex11,SplitIndex12,SplitIndex13,SplitIndex14,SplitIndex15,SplitIndex16,SplitIndex17,SplitIndex18,TimestampUpdated
1200604981160,1105611211306,0121105611211306,Asia,18,1,4,4,3,4,5,4,3,4,5,5,3,4,4,4,4,5,3,4,12,16,18,2,10,4,14,8,6,1,13,3,5,17,11,7,15,9,4,4,3,4,5,4,3,4,5,5,3,4,4,4,4,5,3,4,12,16,18,2,10,4,14,8,6,1,13,3,5,17,11,7,15,9,12,16,18,2,10,4,14,8,6,1,13,3,5,17,11,7,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778620907
1200604981160,1200430222149,0121200430222149,America,18,1,5,4,4,3,4,5,4,3,5,4,3,4,4,3,5,3,4,5,10,14,16,6,12,2,4,18,8,7,13,5,3,15,1,17,9,11,5,4,4,3,4,5,4,3,5,4,3,4,4,3,5,3,4,5,10,14,16,6,12,2,4,18,8,7,13,5,3,15,1,17,9,11,10,14,16,6,12,2,4,18,8,7,13,5,3,15,1,17,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778620885
1200604981160,1200604981160,0121200604981160,Europa,18,1,4,4,3,4,4,4,4,5,3,3,5,4,4,3,5,3,5,4,18,8,14,2,6,12,4,10,16,17,1,13,9,7,5,15,3,11,4,4,3,4,4,4,4,5,3,3,5,4,4,3,5,3,5,4,18,8,14,2,6,12,4,10,16,17,1,13,9,7,5,15,3,11,18,8,14,2,6,12,4,10,16,17,1,13,9,7,5,15,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776340143
141520610397251566,141520658891108829,012141520658891108829,"Pebble Beach",18,0,4,5,4,4,3,5,3,4,4,4,4,3,4,5,4,4,3,5,6,10,12,16,14,2,18,4,8,3,9,17,7,1,13,11,15,5,4,5,4,4,3,5,3,4,4,4,4,3,4,5,4,4,3,5,10,6,12,14,16,4,18,2,8,7,9,13,11,1,15,5,17,3,6,10,12,16,14,2,18,4,8,3,9,17,7,1,13,11,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772645504
141520610397251566,141520658921417047,012141520658921417047,"The Hay",9,0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,13,1,7,17,15,9,11,5,3,2,4,6,8,10,12,14,16,18,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,13,1,7,17,15,9,11,5,3,2,4,6,8,10,12,14,16,18,13,1,7,17,15,9,11,5,3,2,4,6,8,10,12,14,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722060923
141520610413056394,141520665343800921,012141520665343800921,,18,0,5,4,3,4,3,4,5,4,4,4,5,3,4,5,3,4,4,4,3,13,17,9,15,7,11,1,5,12,10,16,4,6,18,2,14,8,5,4,3,4,3,4,5,4,4,4,5,3,4,5,3,4,4,4,5,13,17,9,15,1,7,11,3,6,12,16,8,2,18,10,14,4,3,13,17,9,15,7,11,1,5,12,10,16,4,6,18,2,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704548446
141520610611739653,141520722853256062,012141520722853256062,"Spruce Creek",18,0,5,4,4,3,4,3,4,5,4,4,4,5,3,4,5,4,3,4,9,17,5,11,1,15,7,13,3,6,10,14,12,2,18,4,8,16,5,4,4,3,4,3,4,5,4,4,4,5,3,4,5,4,3,4,5,17,9,13,1,15,7,11,3,8,6,14,18,2,10,4,16,12,9,17,5,11,1,15,7,13,3,6,10,14,12,2,18,4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779134559
